date,debit_inn,credit_inn,amount,purpose,node_score_debit,node_score_credit,txn_node_risk,txn_risk_score,txn_risk_score_blend_graph
2020-12-25,d877722ca4e40f98,14f253ce33aac781,7000.0,оплата по счету № 281 от 25.12.20 пошив чехла на снегоротор сумма 7000-00 без налога (ндс),0.025063289192023976,0.5544506311416626,0.5544506311416626,0.1898540998410348,0.2627734061011604
2020-12-25,d877722ca4e40f98,93712c726144e60d,15000.0,оплата по счету №34 от 24.12.20г ремонт снегоротора сумма 15000-00 без налога (ндс),0.025063289192023976,0.07617902755737305,0.07617902755737305,0.284675706529261,0.2429763707348834
2020-12-25,d877722ca4e40f98,6931e23e98703aa9,100000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стеня согласно договора подряда №3-тор от 19.05.17г сумма 100000-00 в т.ч. ндс (20%) 16666-67,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.4003558957660927,0.325297374451279
2020-12-25,659207c64fee1c66,d877722ca4e40f98,100000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 100000-00 без налога (ндс),0.00893130898475647,0.025063289192023976,0.025063289192023976,0.6164351270246542,0.4981607594581282
2020-12-28,d877722ca4e40f98,8d9e0be733f77f1c,16.0,"комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. документ(ы):; от 28/12/20 №№: 378 (35519 rur ), 379 (100000 rur ). без ндс",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.12748667721788304,0.10700199961271123
2020-12-28,d877722ca4e40f98,032f0b4d2498f263,35519.0,оплата процентов по договору процентного денежного займа №1 от 17.12.20г сумма 35519-00 без налога (ндс),0.025063289192023976,0.046481311321258545,0.046481311321258545,0.42147550192034827,0.3464766638005304
2020-12-28,d877722ca4e40f98,6931e23e98703aa9,100000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стеня согласно договора подряда №3-тор от 19.05.17г сумма 100000-00 в т.ч. ндс (20%) 16666-67,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.3423199724642889,0.27886863580983595
2020-12-28,5ae9eeb0d29bc5c0,d877722ca4e40f98,100000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 100000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.3450711752374433,0.28106959802835946
2020-12-29,d877722ca4e40f98,8d9e0be733f77f1c,16.0,"комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. документ(ы):; от 29/12/20 №№: 380 (79460 rur ), 381 (200000 rur ). без ндс",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.26903921160364386,0.22024402712131988
2020-12-29,d877722ca4e40f98,6d806e49c5774c77,79460.0,оплата по договору №29-12/2020 аванс сумма 79460-00 без налога (ндс),0.025063289192023976,0.06255573034286499,0.06255573034286499,0.2819003451767111,0.2380314222099419
