id,date,debit_inn,credit_inn,amount,risk_score,rule_score,iso_score
,2019-07-02,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,0.855007748851895,1.0,0.5652548671586942
,2020-05-20,d877722ca4e40f98,225acb9ed4f34af6,8235.65,0.8549307800778845,1.0,0.5650853291725805
,2023-09-07,d877722ca4e40f98,74b54be399407640,157929.64,0.8549002439341099,1.0,0.5650180676579497
,2020-03-27,d877722ca4e40f98,225acb9ed4f34af6,1905.33,0.8541758064718943,1.0,0.5634223599181769
,2020-04-30,d877722ca4e40f98,225acb9ed4f34af6,9999.01,0.8541011463053625,1.0,0.5632579070677911
,2020-07-24,d877722ca4e40f98,225acb9ed4f34af6,7354.06,0.8539480398560121,1.0,0.5629206617443779
,2020-02-27,d877722ca4e40f98,683c3112f4fb5700,44115.0,0.8537096139798093,1.0,0.5623954845746947
,2019-02-13,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,0.8536794819740222,1.0,0.5623291132488634
,2021-06-21,d877722ca4e40f98,532f3d84ba4caf61,200000.0,0.8535406053756657,1.0,0.5620232118088784
,2021-07-12,d877722ca4e40f98,85ee5df9d37a27a6,296682.0,0.853477946425441,1.0,0.561885193861085
,2021-07-12,d877722ca4e40f98,85ee5df9d37a27a6,272215.0,0.853477946425441,1.0,0.561885193861085
,2020-08-05,d877722ca4e40f98,ed18d013d231f2d0,5500.0,0.8534244121344501,1.0,0.56176727466594
,2022-02-03,d877722ca4e40f98,7ad54077510c09e4,526.29,0.8534243785202044,1.0,0.5617672006243353
,2020-03-20,d877722ca4e40f98,683c3112f4fb5700,8080.0,0.8533320554271091,1.0,0.5615638419054734
,2019-05-06,d877722ca4e40f98,ca3891c167141f4d,82.76,0.8531539696333852,1.0,0.5611715749477157
,2020-07-20,d877722ca4e40f98,225acb9ed4f34af6,9565.26,0.8531231146039786,1.0,0.561103611028395
,2022-01-18,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8530940898550747,1.0,0.5610396786410095
,2022-01-18,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8530940898550747,1.0,0.5610396786410095
